,City,State,share_white,share_black,poverty_rate,income,protest_rate
796,BrokenArrow,OK,79.3,4.3,8.0,67131.0,0.0027223724568503967
797,Clayton,OK,71.6,0.5,27.0,25078.0,0.5089058524173028
798,Lawton,OK,60.3,21.4,19.9,42493.0,0.002149959688255845
799,Oklahoma,OK,62.7,15.1,18.3,47779.0,0.00012635927834699824
800,Oklahoma,OK,62.7,15.1,18.3,47779.0,0.0007632923547111168
801,Tulsa,OK,62.6,15.9,20.2,42284.0,0.0003522852846116138
802,Wagoner,OK,65.4,8.5,24.1,32602.0,0.01633097441480675
803,Woodward,OK,85.8,0.3,13.7,55131.0,0.012375216566289909
804,Albany,OR,87.8,0.7,19.8,47150.0,0.018070765116195018
805,Ashland,OR,90.3,1.1,19.0,45704.0,0.009398054602697242
806,Banks,OR,92.5,0.3,3.3,79667.0,0.09823182711198428
807,Beaverton,OR,73.0,2.6,15.4,56882.0,0.006563203651160678
808,Bend,OR,91.3,0.5,12.5,52989.0,0.005642910015501405
809,CoosBay,OR,87.1,0.6,22.7,38780.0,0.02444838335065094
810,Corvallis,OR,83.8,1.1,28.2,42488.0,0.019539214353676768
811,Enterprise,OR,95.9,0.3,15.8,38264.0,0.1002004008016032
812,Eugene,OR,85.8,1.4,24.4,43101.0,0.015785936902596425
813,ForestGrove,OR,78.8,0.8,16.9,48411.0,0.0043960917830913535
814,Gresham,OR,76.0,3.5,21.3,46956.0,0.0018284711238697765
815,Hermiston,OR,74.2,0.8,21.9,46141.0,0.0030930154088404005
816,HoodRiver,OR,86.9,0.5,19.1,47310.0,0.025637738751442124
817,JohnDay,OR,94.4,0.5,14.3,33276.0,0.05980861244019139
818,Lebanon,OR,91.2,0.5,19.9,40530.0,0.017224550726301892
819,Milwaukie,OR,88.5,1.3,12.9,52011.0,0.023820867079561697
820,Newport,OR,84.1,0.6,18.8,37452.0,0.018428084400626557
821,Ontario,OR,69.5,0.7,35.1,27760.0,0.018191740949608882
822,Pendleton,OR,87.3,1.4,15.1,46772.0,0.005360652808386443
823,Portland,OR,76.1,6.3,18.0,55003.0,0.003360107279061492
824,Prineville,OR,90.4,0.2,28.7,30291.0,0.00931619154089808
825,Salem,OR,79.0,1.5,18.2,47191.0,0.0011470191838958506
826,Silverton,OR,89.0,0.3,15.1,57483.0,0.0282539084573366
827,Springfield,OR,85.9,1.1,21.5,39729.0,0.012652222046496915
828,Woodburn,OR,60.4,0.5,30.0,43093.0,0.007612377726182774
829,Yachats,OR,95.2,0.1,15.2,43352.0,0.14668367346938774
830,Altoona,PA,93.8,3.3,22.1,36215.0,0.016142422285766997
831,Bethlehem,PA,76.4,6.9,17.5,47291.0,0.02638000395700059
832,Bethlehem,PA,76.4,6.9,17.5,47291.0,0.10038648797871806
833,Bethlehem,PA,76.4,6.9,17.5,47291.0,0.03578329635726043
834,Bradford,PA,96.3,1.0,34.4,31857.0,0.0018270401948842876
835,Butler,PA,93.6,2.7,30.0,29482.0,0.011641443538998836
836,Easton,PA,67.2,16.8,22.3,40575.0,0.05516936996579499
837,Erie,PA,75.0,16.8,26.6,34253.0,0.009772305286817159
838,Harrisburg,PA,30.7,52.4,31.8,33289.0,0.003382652405404125
839,Hermitage,PA,93.3,3.8,7.0,53480.0,0.012927412578372441
840,Johns,PA,80.0,14.6,35.1,24415.0,0.01041938004688721
841,Lancaster,PA,55.2,16.3,29.0,35313.0,0.003374673078545516
842,LockHaven,PA,92.8,4.2,38.3,27129.0,0.02201915666629968
843,NewCastle,PA,83.2,12.2,28.0,30422.0,0.004625774817281895
844,Oil,PA,96.2,1.5,26.2,34203.0,0.020794343938448742
845,Philadelphia,PA,41.0,43.4,26.4,38253.0,0.0007733273403094824
846,Pittsburgh,PA,66.0,26.1,22.9,40715.0,0.0006686958432960577
847,Reading,PA,48.4,13.2,39.6,26784.0,0.002263083451202263
848,Scranton,PA,84.1,5.5,22.1,37218.0,0.013698094008062307
849,Shamokin,PA,96.8,0.6,24.0,31088.0,0.0043153049482163395
850,Sunbury,PA,91.0,2.8,23.2,30698.0,0.010681478316599016
851,Wilkes-Barre,PA,79.2,10.9,28.9,30945.0,0.00428461626518831
852,Williamsport,PA,80.8,13.5,27.3,35826.0,0.010643581920102178
853,York,PA,51.2,28.0,37.3,29025.0,0.017868524082673226
854,Newport,RI,82.5,6.9,15.1,57218.0,0.06575162324319883
855,Providence,RI,49.8,16.0,29.1,37501.0,0.03624578198050955
856,Aiken,SC,66.8,28.5,16.2,55502.0,0.0007774790242638245
857,Charleston,SC,70.2,25.4,17.8,55546.0,0.0009050201357893666
858,Chester,SC,31.9,65.5,41.7,21003.0,0.037195462153617256
859,Clemson,SC,79.1,10.3,39.8,34700.0,0.17141877606993886
860,Columbia,SC,51.7,42.2,24.2,41260.0,0.0060756109786290384
861,Easley,SC,83.1,11.4,13.6,41336.0,0.004680771391125257
862,Florence,SC,50.0,46.0,18.4,42853.0,0.003892969297448808
863,George,SC,37.8,56.7,33.9,24534.0,0.0027453671928620448
864,MountPleasant,SC,91.3,5.1,7.4,77638.0,0.0021814056978316826
865,NorthCharleston,SC,41.6,47.2,22.7,39543.0,0.0008666863115563952
866,Pickens,SC,80.5,15.3,28.1,33250.0,0.011356466876971607
867,Summerville,SC,72.1,21.4,13.0,55476.0,0.0038059715693923774
868,Walhalla,SC,76.2,6.0,42.9,26446.0,0.00022361359570661894
869,Brookings,SD,92.1,1.1,19.5,45175.0,0.008191685439279131
870,Rapid,SD,80.4,1.1,15.2,46966.0,0.001935408951911539
871,SiouxFalls,SD,86.8,4.2,12.1,52494.0,0.0062570391690651974
872,SiouxFalls,SD,86.8,4.2,12.1,52494.0,0.03913694527634087
873,SiouxFalls,SD,86.8,4.2,12.1,52494.0,0.007447752397852456
874,Water,SD,94.8,0.4,11.1,46766.0,0.013529358708397223
875,Alcoa,TN,79.1,14.0,24.8,36215.0,0.002404809619238477
876,Chattanooga,TN,58.0,34.9,22.6,40177.0,0.0010940978889381232
877,Clarksville,TN,65.6,23.2,17.4,46947.0,0.0010243698860546585
878,Covington,TN,46.5,51.0,29.2,28571.0,0.011319900384876612
879,Franklin,TN,84.4,6.7,6.9,85671.0,0.024068257578492604
880,Knoxville,TN,76.1,17.1,25.7,34226.0,0.0009772409467510292
881,Memphis,TN,29.4,63.3,27.6,36445.0,0.0013906038422490494
882,MountJuliet,TN,86.9,6.7,8.4,75973.0,0.002700586027167896
883,Murfreesboro,TN,75.6,15.2,16.2,51094.0,0.0002722940776038121
884,Newport,TN,91.6,4.7,40.7,21288.0,0.014526438117373619
885,Winchester,TN,83.3,11.2,19.9,39500.0,0.033400133600534405
886,Abilene,TX,75.5,9.6,19.1,43189.0,0.001620482903905364
887,AlamoHeights,TX,94.4,0.7,5.3,121086.0,0.034827025771999066
888,Alpine,TX,85.4,1.4,13.7,35941.0,0.05850885991307255
889,Amarillo,TX,77.0,6.6,17.0,47735.0,0.002507887305576037
890,Angleton,TX,71.7,12.4,13.0,52890.0,0.025732077607946064
891,Arlington,TX,59.0,18.8,17.5,53326.0,0.0002507183079522833
892,Austin,TX,68.3,8.1,18.0,57689.0,0.0019153996085433968
893,Beaumont,TX,39.8,47.3,21.8,40992.0,0.0008559811684142949
894,Belton,TX,74.5,8.1,16.1,51033.0,0.008739348918505571
895,Brownwood,TX,82.8,5.0,25.7,36644.0,0.01083717149823896
896,Bryan,TX,64.2,18.0,24.8,40312.0,0.009272567110204459
897,Buda,TX,84.5,2.9,6.7,68945.0,0.0029575298710516978
898,Canyon,TX,88.5,2.4,20.1,43027.0,0.012543116964565695
899,Carthage,TX,69.5,21.1,17.6,47163.0,0.006219872492613902
900,CollegeStation,TX,77.2,6.8,34.7,34186.0,0.0016961945874430714
901,CorpusChristi,TX,80.9,4.3,17.5,50658.0,0.0003061980611538768
902,Dallas,TX,50.7,25.0,24.0,43781.0,0.0004354061893175882
